Rank,Name,Park,Location,Supplier,Year,Awarded
3,Boulder Dash,Lake Compounce,"Bristol, Conn.",Custom Coasters,2000,2017
4,Voyage,Holiday World,"Santa Claus, Ind.",Gravity Group,2006,2017
5,Lightning Rod,Dollywood,"Pigeon Forge, Tenn.",Rocky Mountain,2016,2017
6,Beast,Kings Island,"Mason, Ohio",KECO,1979,2017
7,Ravine Flyer II,Waldameer,"Erie, Pa.",Gravity Group,2008,2017
8,Thunderhead,Dollywood,"Pigeon Forge, Tenn.",Great Coasters Int.,2004,2017
9,Outlaw Run,Silver Dollar City,"Branson, Mo.",Rocky Mountain,2013,2017
10,Gold Striker,California’s Great America,"Santa Clara, Calif.",Great Coasters Int.,2013,2017
11,Mystic Timbers,Kings Island,"Mason, Ohio",Great Coasters Int.,2017,2017
12,Lightning Racer,Hersheypark,"Hershey, Pa.",Great Coasters Int.,2000,2017
13,Goliath,Six Flags Great America,"Gurnee, Ill.",Rocky Mountain,2014,2017
14,Boardwalk Bullet,Kemah Boardwalk,Kemah Boardwalk,M&V/Gravity Group,2007,2017
15,Wodan,Europa-Park,"Rust, Germany",Great Coasters Int.,2012,2017
16,Balder,Liseberg,"Gothenburg, Sweden",Intamin,2003,2017
17,Thunderbolt,Kennywood,"West Mifflin, Pa.",Vettel/Miller,1968,2017
18-tie,GhostRider,Knott’s Berry Farm,"Buena Vista, Calif.",Custom Coasters,1998,2017
18-tie,Troy,Toverland,"Sevenum, Netherlands",Great Coasters Int.,2007,2017
18-tie,White Lightning,Fun Spot America,"Orlando, Fla.",Great Coasters Int.,2013,2017
21,Rampage,Alabama Splash Adventure,"Bessemer, Ala.",Custom Coasters,1998,2017
22,Cyclone,Luna Park,"Brooklyn, N.Y.",Keenan/Baker,1927,2017
23,Raven,Holiday World,"Santa Claus, Ind.",Custom Coasters,1995,2017
24,Legend,Holiday World,"Santa Claus, Ind.",Custom Coasters,2000,2017
25,Shivering Timbers,Michigan’s Adventure,"Muskegon, Mich.",Custom Coasters,1998,2017
26,Jack Rabbit,Kennywood,"West Mifflin, Pa.",PTC/Miller,1920,2017
